Table name,Column name,Full Field Name English,Description English,Data type,Character max length
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaDescID_DisplayEng,Weather phenomena description  (English),"A description of the weather phenomena at the time of the occurrence, in English.
Weather phenomena grid - Multiple weather phenomenas can be specified for each occurrence (OccID), each type and its associated description will appear as a separate entry.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaIntensityID_DisplayEng,Weather phenomena intensity  (English),"The intensity of the weather phenomena at the time of the occurrence, in English.
Weather phenomena grid - Multiple weather phenomenas can be specified for each occurrence (OccID), each type and its associated description will appear as a separate entry.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaTypeID_DisplayEng,Weather phenomena type  (English),"The type of weather phenomena at the time of the occurrence, in English.
Weather phenomena grid - Multiple weather phenomenas can be specified for each occurrence (OccID), each type and its associated description will appear as a separate entry.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,WeightCategoryID_DisplayEng,Weight category  (English),"The weight category of the occurrence aircraft, based on certificated maximum takeoff weight, in English.
",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,WeightWithinLimitsEnum_DisplayEng,Weight within limits (English),"Indicates whether the actual aircraft weight was within limits at the time of the occurrence, in English. Indicator: Yes/No/Unknown",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,ActualSepHorizontalEnum_DisplayFre,Actual separation horizontal (French),"The unit of measure for actual horizontal separation, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AerodromeOperatorID_DisplayFre,Aerodrome operator  (French),"The aerodrome operator type, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftCommonNameID_DisplayFre,Aircraft common name  (French),"The aircraft common name (e.g., marketing designation), in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftMakeID_DisplayFre,Aircraft make  (French),"The aircraft make, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AircraftModelID_DisplayFre,Aircraft model  (French),"The aircraft model, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,IndividualTypeID,Individual type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,AirportID_CountryID_DisplayFre,Airport country  (French),"The country in which the airport is located, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AirportID_ProvinceID_DisplayFre,Airport province  (French),"The province or the state in which the airport is located, in Canada or the United States respectively, in French. ",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AirWarningSystemID_DisplayFre,Air warning system  (French),"The type of airborne collision avoidance system activated, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ApproachRunwayID_DisplayFre,Approach runway  (French),"The approach runway designation, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ApproachTypeID_DisplayFre,Approach type  (French),"The approach type description, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AreaTypeDetailID_DisplayFre,Area type detail  (French),"The area type detail for the takeoff or landing off aerodrome, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ARFFCategoryID_DisplayFre,ARFF category  (French),"The aircraft rescue and firefighting (ARFF) category, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AtsServiceID_DisplayFre,ATS service  (French),"The air traffic service (ATS) provided in Canada or by an international equivalent, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AtsTypeID_DisplayFre,ATS type  (French),"The air traffic service (ATS) type description, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,AtsUnitInvolvedEnum_DisplayFre,ATS unit involved (French),"Indicates whether an air traffic service (ATS) unit was involved, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,CarsSubpartID_DisplayFre,CARs subpart  (French),"The Canadian Aviation Regulations (CARs) subpart under which the private or commercial operator is operating, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,CofGWithinLimitsEnum_DisplayFre,Centre of gravity within limits enumerated display (French),"Indicates whether the centre of gravity is within limits, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,CombustibleID_DisplayFre,Combustible  (French),"The combustible material description, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ControlStatusID_DisplayFre,Control status  (French),"The level of air traffic control description, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,CountryID_DisplayFre,Country  (French),"The country of the occurrence, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,DamageLevelID_DisplayFre,Damage level  (French),"The aircraft level of damage as defined by ICAO, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,DangerousGoodEnum_DisplayFre,Dangerous goods (French),"Indicates whether there were dangerous goods on board the occurrence aircraft, if known, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,DeployedEnum_DisplayFre,Deployed (French),"Indicates whether the TSB was deployed to the occurrence site, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,DistanceEnumFre,Distance (French),"The unit of measurement for distance, in French: feet, meters, or nautical miles.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,ELTInstalledEnum_DisplayFre,ELT installed (French),"Indicates whether an emergency locator transmitter (ELT) was installed on the occurrence aircraft, if known, in French.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,ELTSignalReceivedEnum_DisplayFre,ELT signal received (French),"Indicates whether an ELT signal was received, if known, in French.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,ELTStatusID_DisplayFre,ELT status  (French),"A description of the ELT status, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,EngineMakeID_DisplayFre,Engine make  (French),"A description of the engine make, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,EngineModelID_DisplayFre,Engine model  (French),"A description of the engine model, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,EngineTypeID_DisplayFre,Engine type  (French),"A description of the engine type, in French",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,EquipEffReasonID_DisplayFre,Equipment effectiveness reason  (French),"The reason for survival equipment effectiveness, in French.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,EvacEgressIssueEnum_DisplayFre,Evacuation egress issues (French),"Indicates whether there were evacuation egress issues, if known, in French.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,EvacHamperedID_DisplayFre,Evacuation hampered  (French),"The reason(s) why the evacuation was hampered, if applicable, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,EvasiveActionByATSEnum_DisplayFre,Evasive action by ATS (French),"Indicates whether evasive action was instructed by the air traffic service (ATS), if known, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,EvasiveActionByPilotEnum_DisplayFre,Evasive action by pilot (French),"Indicates whether evasive action was taken by the pilot, if known, in French.",varchar,255
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,EventID_DisplayFre,Event  (French),"A description of the event, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,ExtinguishingAgentID_DisplayFre,Extinguishing agent  (French),"A description of the extinguishing agent type, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FinalCentrelineEnum_DisplayFre,Final centreline (French),"For land takeoff or landing, the reference of the final aircraft location relative to the centreline, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FinalPositionEnum_DisplayFre,Final position (French),"A description of the final position, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FinalPositionID_DisplayFre,Final position  (French),"For water takeoff or landing, the final aircraft position, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FinalThresholdEnum_DisplayFre,Final threshold (French),"For land takeoff or landing, the reference of the final aircraft location relative to the runway threshold, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,FireIgnitionSourceID_DisplayFre,Fire ignition source  (French),"A description of the fire ignition source, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,FireSuppressionTypeID_DisplayFre,Fire suppression type  (French),"A description of the fire suppression type, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,FireWarningAvailableEnum_DisplayFre,Fire warning available (French),"Indicates whether a fire warning was available, if know, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,FireWarningEnum_DisplayFre,Fire warning (French),"Indicates whether the fire warning was triggered, if available, and if known, in French.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,FlightFollowingSystemID_DisplayFre,Flight following system  (French),"Indicates whether a flight following system (a type of onboard aircraft position tracking system) was installed, and whether it provided any assistance to locating the aircraft (French)",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,FlightPhaseID_DisplayFre,Flight phase (French),"The flight phase when fire or smoke is initiated, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,FlightPlanTypeID_DisplayFre,Flight plan type  (French),"The type of flight plan, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FullProcedureIND_DisplayFre,Full procedure indicator display (French),"Indicates whether full instrument approach procedures were used, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,GeneralWeatherID_DisplayFre,General weather  (French),"Indicates whether the known weather conditions were conducive to visual or instrument flight rules, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,GeneralWeatherID_DisplayFre,General weather  (French),"The general weather conditions, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,GroundWarningSystemID_DisplayFre,Ground warning system  (French),"A description of the ground-based collision warning system activated in the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,HelicopterTakeOffLandingSiteID_DisplayFre,Helicopter takeoff/landing site  (French),"A description of the helicopter takeoff/landing site surface, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ICAO_DisplayFre,ICAO (French),"The International Civil Aviation Organization (ICAO) occurrence category, in French.
Multiple entries of may be assigned per occurrence. In that case, multiple entries of the occurrence will be generated, with the category being different for each instance of the same occurrence.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,InflightIcingCondEnum_DisplayFre,In-flight icing conditions (French),"Indicates whether in-flight icing conditions existed, if known, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,InitialLocationID_DisplayFre,Initial location  (French),"The initial location where the fire or smoke occurred, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,InitialPositionEnum_DisplayFre,Initial position (French),"The initial position, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,InitialPositionID_DisplayFre,Initial position  (French),"For water landing, the initial aircraft touchdown position, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,InjuriesEnum_DisplayFre,Injuries (French),"Indicates whether there were any injuries related to the occurrence, including ground injuries, in French.",varchar,255
MDOTW_VW_INJURIES_PUBLIC,InjuryCategoryID_DisplayFre,Injury category  (French),"A description of the injury category (équipage/passagers/au sol), in French.
Note: Injury count for équipage/passagers/au sol are stored in separate entries.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,KitManualBuilderID_DisplayFre,Kit manual builder  (French),"For amateur-built aircraft, the entity that built the aircraft, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,KitManualModelID_DisplayFre,Kit manual model  (French),"The kit manual model for aircraft that is identified as amateur-built, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,LandingGearID_DisplayFre,Landing gear  (French),"The type of landing gear on the aircraft, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LatEnum_DisplayFre,Latitude (French),"The latitude hemisphere (N/S), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LightCondID_DisplayFre,Light conditions  (French),"A description of the light conditions, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LongEnum_DisplayFre,Longitude (French),"The longitude hemisphere relative to the prime meridian (E/O), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ManeuverToFinalID_DisplayFre,Manœuvre to final (French),"A description of the manœuvre to final, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccClassID_DisplayFre,Occurrence classification  (French),"The classification of the occurrence in accordance with the TSB Policy on Occurrence Classification, in French. Note: The policy changed on 01 May 2018, and occurrences are classified in accordance with their contemporary policy.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccIncidentTypeID_DisplayFre,Occurrence incident type  (French),"If the occurrence is a reportable incident, the type of incident as defined in the Transportation Safety Board Regulations, Part 1, Subparagraph 2(1)(b), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,Location,Location,The location of the occurrence,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccTypeID_DisplayFre,Occurrence type  (French),"A description of the occurrence type (accident/inc. décl. obligatoire), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OceanID_DisplayFre,Ocean  (French),"The name of the ocean if the occurrence is over an ocean, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccID,Occurrence identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,OperationTypeID_DisplayFre,Operation type  (French),"The type of operation performed at the time of the occurrence, in French.",varchar,255
